Text token,Base token,Tree Tagger Tagged POS,Our Tagged POS
.,.,SENT,
claire,<unknown>,NN,
danes,Dane,NNS,
and,and,CC,
omar,<unknown>,NN,
epps,<unknown>,NNS,
deliver,deliver,VB,
their,their,PP$,
lines,line,NNS,
as,as,RB,
if,if,IN,
they,they,PP,
are,be,VBP,
bored,bore,VBN,
",",",",",",
which,which,WDT,
really,really,RB,
transfers,transfer,VBZ,
onto,onto,IN,
the,the,DT,
audience,audience,NN,
.,.,SENT,
the,the,DT,
only,only,JJ,
one,one,CD,
to,to,TO,
escape,escape,VB,
relatively,relatively,RB,
unscathed,unscathed,JJ,
is,be,VBZ,
giovanni,Giovanni,NP,
ribisi,<unknown>,NP,
",",",",",",
who,who,WP,
plays,play,VBZ,
the,the,DT,
resident,resident,JJ,
crazy,crazy,JJ,
man,man,NN,
",",",",",",
ultimately,ultimately,RB,
being,be,VBG,
the,the,DT,
only,only,JJ,
thing,thing,NN,
worth,worth,NN,
watching,watching,NN,
.,.,SENT,
unfortunately,unfortunately,RB,
",",",",",",
even,even,RB,
he,he,PP,
's,be,VBZ,
not,not,RB,
enough,enough,JJ,
to,to,TO,
save,save,VB,
this,this,DT,
convoluted,convoluted,JJ,
mess,mess,NN,
",",",",",",
as,as,IN,
all,all,PDT,
the,the,DT,
characters,character,NNS,
do,do,VBP,
n't,n't,RB,
do,do,VB,
much,much,RB,
apart,apart,RB,
from,from,IN,
occupying,occupying,JJ,
screen,screen,NN,
time,time,NN,
.,.,SENT,
with,with,IN,
the,the,DT,
young,young,JJ,
cast,cast,NN,
",",",",",",
cool,cool,JJ,
clothes,clothes,NNS,
",",",",",",
nice,nice,JJ,
hair,hair,NN,
",",",",",",
and,and,CC,
hip,hip,JJ,
soundtrack,soundtrack,NN,
",",",",",",
it,it,PP,
appears,appear,VBZ,
that,that,IN,
the,the,DT,
film,film,NN,
is,be,VBZ,
geared,gear,VBN,
towards,towards,IN,
the,the,DT,
teenage,teenage,JJ,
mindset,mindset,NN,
.,.,SENT,
despite,despite,IN,
an,an,DT,
american,American,NN,
',',POS,
r,r,NN,
',',POS,
rating,rating,NN,
(,(,(,
which,which,WDT,
the,the,DT,
content,content,NN,
does,do,VBZ,
not,not,RB,
justify,justify,VB,
),),),
",",",",",",
the,the,DT,
film,film,NN,
is,be,VBZ,
way,way,RB,
too,too,RB,
juvenile,juvenile,JJ,
for,for,IN,
the,the,DT,
older,old,JJR,
mindset,mindset,NN,
.,.,SENT,
information,information,NN,
on,on,IN,
the,the,DT,
characters,character,NNS,
is,be,VBZ,
literally,literally,RB,
spoon-fed,spoon-feed,VBN,
to,to,TO,
the,the,DT,
audience,audience,NN,
(,(,(,
would,would,MD,
it,it,PP,
be,be,VB,
that,that,IN,
hard,hard,JJ,
to,to,TO,
show,show,VB,
us,us,PP,
instead,instead,RB,
of,of,IN,
telling,tell,VBG,
us,us,PP,
?,?,SENT,
),),),
",",",",",",
dialogue,dialogue,NN,
is,be,VBZ,
poorly,poorly,RB,
written,write,VBN,
",",",",",",
and,and,CC,
the,the,DT,
plot,plot,NN,
is,be,VBZ,
extremely,extremely,RB,
predictable,predictable,JJ,
.,.,SENT,
the,the,DT,
way,way,NN,
the,the,DT,
film,film,NN,
progresses,progress,VBZ,
",",",",",",
you,you,PP,
likely,likely,RB,
wo,wo,MD,
n't,n't,RB,
even,even,RB,
care,care,VB,
if,if,IN,
the,the,DT,
heroes,hero,NNS,
are,be,VBP,
in,in,IN,
any,any,DT,
jeopardy,jeopardy,NN,
",",",",",",
because,because,IN,
you,you,PP,
'll,will,MD,
know,know,VB,
they,they,PP,
are,be,VBP,
n't,n't,RB,
.,.,SENT,
basing,base,VBG,
the,the,DT,
show,show,NN,
on,on,IN,
a,a,DT,
1960,@card@,CD,
's,'s,POS,
television,television,NN,
show,show,NN,
that,that,IN,
nobody,nobody,NN,
remembers,remember,VBZ,
is,be,VBZ,
of,of,IN,
questionable,questionable,JJ,
wisdom,wisdom,NN,
",",",",",",
especially,especially,RB,
when,when,WRB,
one,one,PP,
considers,consider,VBZ,
the,the,DT,
target,target,NN,
audience,audience,NN,
and,and,CC,
the,the,DT,
fact,fact,NN,
that,that,IN,
the,the,DT,
number,number,NN,
of,of,IN,
memorable,memorable,JJ,
films,film,NNS,
based,base,VBN,
on,on,IN,
television,television,NN,
shows,show,NNS,
can,can,MD,
be,be,VB,
counted,count,VBN,
on,on,IN,
one,one,CD,
hand,hand,NN,
(,(,(,
even,even,RB,
one,one,CD,
that,that,WDT,
's,be,VBZ,
missing,miss,VBG,
a,a,DT,
finger,finger,NN,
or,or,CC,
two,two,CD,
),),),
.,.,SENT,
the,the,DT,
number,number,NN,
of,of,IN,
times,time,NNS,
that,that,IN,
i,i,NP,
checked,check,VBD,
my,my,PP$,
watch,watch,NN,
(,(,(,
six,six,CD,
),),),
is,be,VBZ,
a,a,DT,
clear,clear,JJ,
indication,indication,NN,
that,that,IN,
this,this,DT,
film,film,NN,
is,be,VBZ,
not,not,RB,
one,one,CD,
of,of,IN,
them,them,PP,
.,.,SENT,
it,it,PP,
is,be,VBZ,
clear,clear,JJ,
that,that,IN,
the,the,DT,
film,film,NN,
is,be,VBZ,
nothing,nothing,RB,
more,more,JJR,
than,than,IN,
an,an,DT,
attempt,attempt,NN,
to,to,TO,
cash,cash,VB,
in,in,IN,
on,on,IN,
the,the,DT,
teenage,teenage,JJ,
spending,spending,NN,
dollar,dollar,NN,
",",",",",",
judging,judge,VBG,
from,from,IN,
the,the,DT,
rash,rash,NN,
of,of,IN,
really,really,RB,
awful,awful,JJ,
teen-flicks,<unknown>,NNS,
that,that,IN,
we,we,PP,
've,have,VBP,
been,be,VBN,
seeing,see,VBG,
as,as,RB,
of,of,IN,
late,late,JJ,
.,.,SENT,
avoid,avoid,VB,
this,this,DT,
film,film,NN,
at,at,IN,
all,all,DT,
costs,cost,NNS,
.,.,SENT,
