Text token,Base token,Tree Tagger Tagged POS,Our Tagged POS
you,you,PP,
have,have,VBP,
n't,n't,RB,
buried,bury,VBN,
her,her,PP,
yet,yet,RB,
?,?,SENT,
Guy,guy,NN,
:,:,:,
How,how,WRB,
old,old,JJ,
are,be,VBP,
you,you,PP,
?,?,SENT,
Hipster,hipster,NN,
girl,girl,NN,
:,:,:,
You,you,PP,
know,know,VBP,
",",",",",",
I,I,PP,
never,never,RB,
answer,answer,VB,
that,that,DT,
question,question,NN,
.,.,SENT,
Because,because,IN,
to,to,TO,
me,me,PP,
",",",",",",
it,it,PP,
's,be,VBZ,
about,about,RB,
how,how,WRB,
mature,mature,JJ,
you,you,PP,
are,be,VBP,
",",",",",",
you,you,PP,
know,know,VBP,
?,?,SENT,
I,I,PP,
mean,mean,VBP,
",",",",",",
a,a,DT,
fourteen,fourteen,NN,
year,year,NN,
old,old,JJ,
could,could,MD,
be,be,VB,
more,more,RBR,
mature,mature,JJ,
than,than,IN,
a,a,DT,
twenty-five,<unknown>,JJ,
year,year,NN,
old,old,JJ,
",",",",",",
right,right,RB,
?,?,SENT,
I,I,PP,
'm,be,VBP,
sorry,sorry,JJ,
",",",",",",
I,I,PP,
just,just,RB,
never,never,RB,
answer,answer,VB,
that,that,DT,
question,question,NN,
.,.,SENT,
Guy,guy,NN,
:,:,:,
But,but,CC,
",",",",",",
uh,uh,UH,
",",",",",",
you,you,PP,
're,be,VBP,
older,old,JJR,
than,than,IN,
eighteen,eighteen,CD,
",",",",",",
right,right,RB,
?,?,SENT,
Hipster,hipster,NN,
girl,girl,NN,
:,:,:,
Oh,oh,UH,
",",",",",",
yeah,yeah,RB,
.,.,SENT,
Queer,queer,JJ,
#1,<unknown>,NN,
:,:,:,
What,what,WP,
should,should,MD,
I,I,PP,
get,get,VB,
?,?,SENT,
I,I,PP,
'll,will,MD,
have,have,VB,
a,a,DT,
falafel,falafel,NN,
.,.,SENT,
Ha,Ha,NP,
",",",",",",
ha,ha,NP,
!,!,SENT,
Queer,queer,JJ,
#2,<unknown>,NN,
:,:,:,
I,I,PP,
'll,will,MD,
have,have,VB,
one,one,CD,
of,of,IN,
these,these,DT,
lamb,lamb,NN,
slices,slice,NNS,
.,.,SENT,
Pizza,Pizza,NP,
guy,guy,NN,
:,:,:,
Eggplant,eggplant,NN,
.,.,SENT,
Queer,queer,JJ,
#2,<unknown>,NN,
:,:,:,
No,no,UH,
",",",",",",
one,one,CD,
of,of,IN,
these,these,DT,
.,.,SENT,
Pizza,Pizza,NP,
guy,guy,NN,
:,:,:,
That,that,WDT,
's,be,VBZ,
eggplant,eggplant,NN,
.,.,SENT,
Queer,queer,JJ,
#2,<unknown>,NN,
:,:,:,
Oh,oh,UH,
...,...,:,
Well,well,UH,
",",",",",",
it,it,PP,
looked,look,VBD,
like,like,IN,
lamb,lamb,NN,
.,.,SENT,
Queer,queer,JJ,
#1,<unknown>,NN,
:,:,:,
I,I,PP,
'm,be,VBP,
gonna,gonna,VBG,
throw,throw,NN,
caution,caution,NN,
to,to,TO,
the,the,DT,
wind,wind,NN,
and,and,CC,
get,get,VB,
a,a,DT,
cheese,cheese,NN,
slice,slice,NN,
.,.,SENT,
Queer,queer,JJ,
#3,<unknown>,NN,
:,:,:,
That,that,WDT,
's,be,VBZ,
not,not,RB,
lamb,lamb,NN,
.,.,SENT,
Maybe,maybe,RB,
you,you,PP,
should,should,MD,
ask,ask,VB,
for,for,IN,
a,a,DT,
duck,duck,NN,
confit,<unknown>,NN,
slice,slice,NN,
.,.,SENT,
Man,man,NN,
:,:,:,
Is,be,VBZ,
this,this,DT,
kosher,kosher,NN,
?,?,SENT,
Vendor,vendor,NN,
guy,guy,NN,
:,:,:,
Um,Um,NP,
...,...,:,
there,there,EX,
's,be,VBZ,
kosher,kosher,JJ,
salt,salt,NN,
in,in,IN,
the,the,DT,
bacon,bacon,NN,
.,.,SENT,
Man,man,NN,
#1,<unknown>,NN,
:,:,:,
Yo,Yo,NP,
!,!,SENT,
You,you,PP,
just,just,RB,
picked,pick,VBD,
your,your,PP$,
nose,nose,NN,
!,!,SENT,
You,you,PP,
're,be,VBP,
not,not,RB,
gonna,gonna,VBG,
wash,wash,VB,
your,your,PP$,
hands,hand,NNS,
first,first,JJ,
?,?,SENT,
Man,man,NN,
#2,<unknown>,NN,
:,:,:,
Why,why,WRB,
?,?,SENT,
It,it,PP,
's,be,VBZ,
not,not,RB,
like,like,IN,
I,I,PP,
picked,pick,VBD,
your,your,PP$,
nose,nose,NN,
.,.,SENT,
Guy,guy,NN,
#1,<unknown>,NN,
:,:,:,
You,you,PP,
're,be,VBP,
the,the,DT,
first,first,JJ,
person,person,NN,
I,I,PP,
've,have,VBP,
seen,see,VBN,
that,that,IN,
washed,wash,VBN,
their,their,PP$,
hands,hand,NNS,
before,before,IN,
going,go,VBG,
to,to,TO,
the,the,DT,
toilet,toilet,NN,
.,.,SENT,
Guy,guy,NN,
#2,<unknown>,NN,
:,:,:,
My,my,PP$,
godfather,godfather,NN,
was,be,VBD,
a,a,DT,
doctor,doctor,NN,
and,and,CC,
he,he,PP,
got,get,VBD,
it,it,PP,
into,into,IN,
my,my,PP$,
head,head,NN,
at,at,IN,
a,a,DT,
young,young,JJ,
enough,enough,JJ,
age,age,NN,
that,that,IN,
I,I,PP,
had,have,VBD,
to,to,TO,
always,always,RB,
do,do,VB,
it,it,PP,
.,.,SENT,
Guy,guy,NN,
#1,<unknown>,NN,
:,:,:,
Really,really,RB,
?,?,SENT,
He,he,PP,
must,must,MD,
have,have,VB,
been,be,VBN,
a,a,DT,
bit,bit,NN,
of,of,IN,
a,a,DT,
strange,strange,JJ,
doctor,doctor,NN,
.,.,SENT,
Guy,guy,NN,
#2,<unknown>,NN,
:,:,:,
Yeah,yeah,RB,
...,...,:,
He,he,PP,
specialized,specialize,VBD,
in,in,IN,
infectious,infectious,JJ,
diseases,disease,NNS,
.,.,SENT,
Girl,girl,NN,
:,:,:,
Why,why,WRB,
do,do,VBP,
I,I,PP,
have,have,VBP,
to,to,TO,
die,die,VB,
",",",",",",
why,why,WRB,
ca,ca,MD,
n't,n't,RB,
you,you,PP,
die,die,VBP,
?,?,SENT,
Guy,guy,NN,
:,:,:,
.,.,SENT,
Girl,girl,NN,
:,:,:,
Well,well,RB,
...,...,:,
that,that,WDT,
's,be,VBZ,
not,not,RB,
fair,fair,JJ,
.,.,SENT,
Old,old,JJ,
man,man,NN,
:,:,:,
You,you,PP,
are,be,VBP,
the,the,DT,
most,most,RBS,
beautiful,beautiful,JJ,
woman,woman,NN,
in,in,IN,
the,the,DT,
world,world,NN,
.,.,SENT,
Girl,girl,NN,
:,:,:,
Aw,<unknown>,NNS,
",",",",",",
thanks,thanks,NNS,
!,!,SENT,
Guy,guy,NN,
:,:,:,
She,she,PP,
has,have,VBZ,
crabs,crab,NNS,
!,!,SENT,
Guy,guy,NN,
#1,<unknown>,NN,
:,:,:,
What,what,WP,
can,can,MD,
I,I,PP,
say,say,VB,
?,?,SENT,
I,I,PP,
'm,be,VBP,
a,a,DT,
sucker,sucker,NN,
for,for,IN,
orphan,orphan,NN,
stories,story,NNS,
.,.,SENT,
Guy,guy,NN,
#2,<unknown>,NN,
:,:,:,
Or,or,CC,
something,something,NN,
.,.,SENT,
Guy,guy,NN,
#1,<unknown>,NN,
:,:,:,
Think,think,VBP,
about,about,IN,
it,it,PP,
:,:,:,
I,I,PP,
loved,love,VBD,
Lemony,lemony,JJ,
Snicket,snicket,NN,
",",",",",",
Party,Party,NP,
of,of,IN,
Five,five,CD,
",",",",",",
Diff'rent,<unknown>,NP,
Strokes,stroke,NNS,
",",",",",",
Star,Star,NP,
Wars,Wars,NPS,
.,.,SENT,
